prefix,feature_type,level1,level2,level3,level4,description
bldg,bldg:Building,uro:indoorBuildingAttribute.uro:IndoorZoneAttribute,,,,屋内区画属性
bldg,bldg:Building,uro:indoorBuildingAttribute.uro:IndoorZoneAttribute,uro:source,,,原典資料
bldg,bldg:Building,uro:indoorBuildingAttribute.uro:IndoorZoneAttribute,uro:floorId,,,階層ID
bldg,bldg:Building,uro:indoorBuildingAttribute.uro:IndoorUserDefinedAttribute,,,,屋内利用者定義属性
bldg,bldg:Building,uro:indoorBuildingAttribute.uro:IndoorUserDefinedAttribute,uro:source,,,原典資料
bldg,bldg:Building,uro:indoorBuildingAttribute.uro:IndoorUserDefinedAttribute,uro:name,,,名称
bldg,bldg:Building,uro:indoorBuildingAttribute.uro:IndoorUserDefinedAttribute,uro:nominalValue,,,フィールド名に対応する属性値
bldg,bldg:Building,uro:indoorBuildingAttribute.uro:IndoorUserDefinedAttribute,uro:description,,,設定等名称
bldg,bldg:Building,uro:indoorBuildingAttribute.uro:IndoorUserDefinedAttribute,uro:unit,,,単位
bldg,bldg:Building,uro:bldgFacilityTypeAttribute,,,,施設分類属性
